hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name
City Hotel,0,135,2017,August,32,7,2,5,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,189.43,0,2,Check-Out,14/8/2017,Cameron Reed
City Hotel,0,177,2017,August,32,10,1,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,112.5,0,0,Check-Out,14/8/2017,Nancy Stewart
City Hotel,0,280,2017,August,32,8,1,5,2,0,0,SC,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,2,Check-Out,14/8/2017,Chad Ochoa
City Hotel,0,31,2017,August,33,13,1,0,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9,NULL,0,Transient,200,0,3,Check-Out,14/8/2017,Kimberly Rivera
City Hotel,0,195,2017,August,32,11,1,2,2,0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52,NULL,0,Transient,80.1,0,0,Check-Out,14/8/2017,Sandra Anderson
City Hotel,0,22,2017,August,32,10,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,180,0,2,Check-Out,14/8/2017,Janet Cook
City Hotel,0,117,2017,August,32,12,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,164,0,1,Check-Out,14/8/2017,Thomas Baker
City Hotel,0,117,2017,August,32,12,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,14/8/2017,Meagan Reese
City Hotel,0,117,2017,August,32,12,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,14/8/2017,Vanessa Gray
City Hotel,0,0,2017,August,33,13,1,0,3,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,139,0,0,Check-Out,14/8/2017,Krystal Torres
City Hotel,0,309,2017,August,32,7,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,141.3,0,1,Check-Out,14/8/2017,Cindy Moore
City Hotel,0,204,2017,August,32,7,2,5,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,1,Check-Out,14/8/2017,Sheila Juarez
City Hotel,0,156,2017,August,32,11,1,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,157.5,0,2,Check-Out,14/8/2017,Sandra Davis
City Hotel,0,176,2017,August,32,7,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017,Joshua Underwood
City Hotel,0,54,2017,August,32,10,1,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,2,No Deposit,14,NULL,0,Transient,157.5,0,0,Check-Out,14/8/2017,Douglas Morales Jr.
City Hotel,0,138,2017,August,32,11,1,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,14/8/2017,Christopher Hammond
City Hotel,0,138,2017,August,32,11,1,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,14/8/2017,Sarah Gilbert
City Hotel,0,0,2017,August,33,13,1,0,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,180,0,0,Check-Out,14/8/2017,Megan Carter
City Hotel,0,157,2017,August,32,10,1,3,2,1,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,2,Check-Out,14/8/2017,Richard Gilbert
City Hotel,0,1,2017,August,32,11,1,2,2,0,0,BB,PRT,Online TA,GDS,0,0,0,A,A,0,No Deposit,195,NULL,0,Transient,200,0,1,Check-Out,14/8/2017,Robert Stewart
City Hotel,0,102,2017,August,32,7,2,5,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,NULL,0,Transient,201.4,0,2,Check-Out,14/8/2017,Morgan Hall
City Hotel,0,149,2017,August,32,7,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017,Mike Rios
City Hotel,0,195,2017,August,32,12,1,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017,Carl Jones
City Hotel,0,20,2017,August,32,10,1,3,2,0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,2,Check-Out,14/8/2017,Jason Merritt
City Hotel,0,5,2017,August,33,13,1,0,2,0,0,BB,PRY,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,89,0,0,Check-Out,14/8/2017,Scott Browning
City Hotel,0,158,2017,August,32,10,1,3,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,175.5,0,1,Check-Out,14/8/2017,Jamie Randall
City Hotel,0,36,2017,August,32,12,1,1,2,0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,155,0,1,Check-Out,14/8/2017,Dennis Cochran
City Hotel,0,105,2017,August,32,12,1,1,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,225,0,0,Check-Out,14/8/2017,Anthony Butler
City Hotel,0,317,2017,August,32,11,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,108.9,1,1,Check-Out,14/8/2017,Johnny Morris
City Hotel,0,122,2017,August,32,7,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,111.6,0,1,Check-Out,14/8/2017,Shannon Garcia
City Hotel,0,294,2017,August,33,13,1,0,2,0,0,BB,SWE,Direct,Direct,0,0,0,F,F,3,No Deposit,14,NULL,0,Transient,201.25,0,1,Check-Out,14/8/2017,Jamie Kim
City Hotel,0,2,2017,August,32,12,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,1,Check-Out,14/8/2017,Rachel Roberts
City Hotel,0,187,2017,August,32,11,1,2,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,1,Check-Out,14/8/2017,Timothy Smith
City Hotel,0,56,2017,August,33,13,1,0,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140,0,1,Check-Out,14/8/2017,Charles Petersen
City Hotel,0,144,2017,August,32,10,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,2,Check-Out,14/8/2017,Kerri Coleman
City Hotel,0,128,2017,August,32,11,1,2,2,0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,14/8/2017,Stacey Barker
City Hotel,0,295,2017,August,32,10,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,156.6,0,0,Check-Out,14/8/2017,Ashley Braun
City Hotel,0,130,2017,August,32,9,1,4,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,80.1,0,0,Check-Out,14/8/2017,Justin Palmer
City Hotel,0,153,2017,August,32,10,1,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,90,0,0,Check-Out,14/8/2017,Christopher Riddle
City Hotel,0,6,2017,August,32,10,1,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,200,0,0,Check-Out,14/8/2017,Kimberly Rivera
City Hotel,0,23,2017,August,32,8,1,5,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,0,Check-Out,14/8/2017,Rebecca Collins
City Hotel,0,317,2017,August,32,11,1,2,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,116.1,0,1,Check-Out,14/8/2017,Bridget West
City Hotel,0,108,2017,August,32,10,1,3,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,NULL,0,Transient,195,0,2,Check-Out,14/8/2017,Taylor Cox
City Hotel,0,295,2017,August,32,10,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,156.6,0,0,Check-Out,14/8/2017,John Newton
City Hotel,0,295,2017,August,32,10,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,156.6,0,0,Check-Out,14/8/2017,Elizabeth Thomas
City Hotel,0,195,2017,August,32,12,1,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017,Billy Rodriguez
City Hotel,0,320,2017,August,32,12,1,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,123.3,0,3,Check-Out,14/8/2017,Kevin Jones
City Hotel,0,153,2017,August,32,10,1,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,90,0,0,Check-Out,14/8/2017,Sierra Cuevas
City Hotel,0,0,2017,August,33,13,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,152,NULL,0,Transient,98.4,0,0,Check-Out,14/8/2017,Jill Clark
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Erika Maldonado
City Hotel,0,141,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,449,NULL,0,Transient-Party,106,0,0,Check-Out,15/8/2017,Frederick Wiggins
City Hotel,0,129,2017,August,32,8,2,5,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,1,Check-Out,15/8/2017,Lori Austin
City Hotel,0,129,2017,August,32,8,2,5,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,1,Check-Out,15/8/2017,Melissa Holmes
City Hotel,0,168,2017,August,33,13,2,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,0,Check-Out,15/8/2017,Susan Brennan
City Hotel,0,113,2017,August,32,10,2,3,2,0,0,SC,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,125,0,0,Check-Out,15/8/2017,Sarah Peterson
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Jeremy Carroll
City Hotel,0,181,2017,August,32,11,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,100.48,0,0,Check-Out,15/8/2017,Melissa Stewart
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Deborah Hamilton
City Hotel,0,141,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,449,NULL,0,Transient-Party,106,0,0,Check-Out,15/8/2017,Brooke Fowler
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Jason Stewart
City Hotel,0,54,2017,August,33,13,2,0,3,0,0,SC,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,152,0,0,Check-Out,15/8/2017,Jessica Mckenzie
City Hotel,0,1,2017,August,33,14,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,A,2,No Deposit,NULL,NULL,0,Transient,180,0,0,Check-Out,15/8/2017,Amanda Davis
City Hotel,0,179,2017,August,32,12,2,1,2,0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,1,Check-Out,15/8/2017,Brandon Johnson
City Hotel,0,256,2017,August,32,10,2,3,2,0,0,BB,POL,Direct,Direct,0,0,0,A,A,4,No Deposit,14,NULL,0,Transient,86.63,0,2,Check-Out,15/8/2017,Sarah Wright
City Hotel,0,21,2017,August,33,13,2,0,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,2,Check-Out,15/8/2017,Jennifer Reyes
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Tammy Estrada
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Thomas Rivera
City Hotel,0,122,2017,August,32,11,2,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,15/8/2017,Jeffrey Flores
City Hotel,0,7,2017,August,33,14,1,0,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,180,0,0,Check-Out,15/8/2017,Dawn Keller
City Hotel,0,146,2017,August,32,12,2,1,3,0,0,BB,MYS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,2,Check-Out,15/8/2017,Michael Parks
City Hotel,0,146,2017,August,32,12,2,1,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,2,Check-Out,15/8/2017,Joseph Hampton
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Peter Miller
City Hotel,0,150,2017,August,33,14,1,0,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,0,Check-Out,15/8/2017,Tracy Mckinney
City Hotel,0,225,2017,August,32,11,2,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,2,Check-Out,15/8/2017,Bridget Lee
City Hotel,0,88,2017,August,33,13,2,5,1,2,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9,NULL,0,Transient,172.29,0,1,Check-Out,20/8/2017,Peggy Evans
City Hotel,0,37,2017,August,33,13,2,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,136,0,1,Check-Out,15/8/2017,Christina Jordan
City Hotel,0,87,2017,August,32,12,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,130,0,3,Check-Out,15/8/2017,Adam Eaton
City Hotel,0,87,2017,August,32,12,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,160,0,2,Check-Out,15/8/2017,Caitlyn Davidson
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Kelly Cortez
City Hotel,0,156,2017,August,32,12,2,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,NULL,0,Transient,104.4,0,0,Check-Out,15/8/2017,Charles Thornton
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Samantha Ferguson
City Hotel,0,265,2017,August,32,12,2,1,2,1,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125.1,0,2,Check-Out,15/8/2017,Michael Anderson
City Hotel,0,265,2017,August,32,12,2,1,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,2,Check-Out,15/8/2017,Adrian Thomas
City Hotel,0,34,2017,August,33,14,1,0,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,219,1,2,Check-Out,15/8/2017,Charles Cruz
City Hotel,0,34,2017,August,33,14,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,9,NULL,0,Transient,160,0,2,Check-Out,15/8/2017,Brandon Lee
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Dylan Nguyen
City Hotel,0,170,2017,August,32,11,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9,NULL,0,Transient-Party,175.5,0,0,Check-Out,15/8/2017,Wendy Trujillo
City Hotel,0,170,2017,August,32,11,2,2,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9,NULL,0,Transient-Party,148.5,1,2,Check-Out,15/8/2017,Timothy Nixon
City Hotel,0,1,2017,August,33,13,2,0,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,210,0,2,Check-Out,15/8/2017,Susan Torres
City Hotel,0,21,2017,August,33,14,1,0,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,218,0,3,Check-Out,15/8/2017,Joshua Simmons
City Hotel,0,195,2017,August,32,12,2,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,1,Check-Out,15/8/2017,Alec Barnes
City Hotel,0,187,2017,August,32,10,2,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,168,NULL,0,Transient,80.1,0,1,Check-Out,15/8/2017,Tony Stewart
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Ashley Duncan
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Shelby Gordon
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Ryan Barrera
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Lisa Dalton
City Hotel,0,215,2017,August,32,12,2,1,2,2,0,BB,MAR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,202.5,0,0,Check-Out,15/8/2017,David Williams
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Frank Jackson
City Hotel,0,9,2017,August,32,12,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient-Party,166.67,0,0,Check-Out,15/8/2017,Kyle Bradford
City Hotel,0,91,2017,August,33,13,2,0,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,112.5,0,0,Check-Out,15/8/2017,Joel Flowers
City Hotel,0,150,2017,August,32,8,2,5,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,2,Check-Out,15/8/2017,George Kemp
City Hotel,0,87,2017,August,32,8,2,5,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,15/8/2017,Julian Moody
City Hotel,0,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017,Suzanne Willis
City Hotel,0,200,2017,August,32,11,2,2,2,0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,100.48,0,0,Check-Out,15/8/2017,Nathan Williams
City Hotel,0,23,2017,August,32,12,2,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,K,0,No Deposit,9,NULL,0,Transient,190,0,0,Check-Out,15/8/2017,Calvin Collins PhD
City Hotel,0,54,2017,August,32,11,2,2,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,210,0,1,Check-Out,15/8/2017,Maria Baldwin
